Country Code,Country Name,Region,Income Group,Gender,Year,Life Expectancy
ABW,Aruba,Latin America & Caribbean,High income,Male,1960,64.084
AFG,Afghanistan,South Asia,Low income,Male,1960,31.58
AGO,Angola,Sub-Saharan Africa,Lower middle income,Male,1960,31.787
ALB,Albania,Europe & Central Asia,Upper middle income,Male,1960,61.309
AND,Andorra,Europe & Central Asia,High income,Male,1960,
ARB,Arab World,,,Male,1960,45.77687922
ARE,United Arab Emirates,Middle East & North Africa,High income,Male,1960,49.677
ARG,Argentina,Latin America & Caribbean,Upper middle income,Male,1960,62.417
ARM,Armenia,Europe & Central Asia,Lower middle income,Male,1960,62.822
ASM,American Samoa,East Asia & Pacific,Upper middle income,Male,1960,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,Male,1960,59.512
AUS,Australia,East Asia & Pacific,High income,Male,1960,67.78571429
AUT,Austria,Europe & Central Asia,High income,Male,1960,65.41
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Male,1960,57.555
BDI,Burundi,Sub-Saharan Africa,Low income,Male,1960,39.698
BEL,Belgium,Europe & Central Asia,High income,Male,1960,66.78
BEN,Benin,Sub-Saharan Africa,Low income,Male,1960,36.823
BFA,Burkina Faso,Sub-Saharan Africa,Low income,Male,1960,33.454
BGD,Bangladesh,South Asia,Lower middle income,Male,1960,45.523
BGR,Bulgaria,Europe & Central Asia,Upper middle income,Male,1960,67.55
BHR,Bahrain,Middle East & North Africa,High income,Male,1960,48.95
BHS,"Bahamas, The",Latin America & Caribbean,High income,Male,1960,60.791
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Male,1960,58.68
BLR,Belarus,Europe & Central Asia,Upper middle income,Male,1960,65.032
BLZ,Belize,Latin America & Caribbean,Upper middle income,Male,1960,58.656
BMU,Bermuda,North America,High income,Male,1960,
BOL,Bolivia,Latin America & Caribbean,Lower middle income,Male,1960,40.831
BRA,Brazil,Latin America & Caribbean,Upper middle income,Male,1960,52.434
BRB,Barbados,Latin America & Caribbean,High income,Male,1960,58.56
BRN,Brunei Darussalam,East Asia & Pacific,High income,Male,1960,61.095
BTN,Bhutan,South Asia,Lower middle income,Male,1960,34.019
BWA,Botswana,Sub-Saharan Africa,Upper middle income,Male,1960,48.757
CAF,Central African Republic,Sub-Saharan Africa,Low income,Male,1960,34.948
CAN,Canada,North America,High income,Male,1960,68.26
CEB,Central Europe and the Baltics,,,Male,1960,65.4110479
CHE,Switzerland,Europe & Central Asia,High income,Male,1960,68.65
CHI,Channel Islands,Europe & Central Asia,High income,Male,1960,67.811
CHL,Chile,Latin America & Caribbean,High income,Male,1960,54.604
CHN,China,East Asia & Pacific,Upper middle income,Male,1960,42.433
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,Male,1960,35.909
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Male,1960,40.234
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,Male,1960,39.64
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Male,1960,47.366
COL,Colombia,Latin America & Caribbean,Upper middle income,Male,1960,55.047
COM,Comoros,Sub-Saharan Africa,Low income,Male,1960,39.96
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,Male,1960,47.693
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,Male,1960,59.224
CSS,Caribbean small states,,,Male,1960,60.47367987
CUB,Cuba,Latin America & Caribbean,Upper middle income,Male,1960,62.271
CUW,Curacao,Latin America & Caribbean,High income,Male,1960,
CYM,Cayman Islands,Latin America & Caribbean,High income,Male,1960,
CYP,Cyprus,Europe & Central Asia,High income,Male,1960,67.631
CZE,Czech Republic,Europe & Central Asia,High income,Male,1960,67.5
DEU,Germany,Europe & Central Asia,High income,Male,1960,66.751
DJI,Djibouti,Middle East & North Africa,Lower middle income,Male,1960,42.732
DMA,Dominica,Latin America & Caribbean,Upper middle income,Male,1960,
DNK,Denmark,Europe & Central Asia,High income,Male,1960,70.44
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Male,1960,50.396
DZA,Algeria,Middle East & North Africa,Upper middle income,Male,1960,45.44
EAP,East Asia & Pacific (excluding high income),,,Male,1960,44.24387088
EAR,Early-demographic dividend,,,Male,1960,44.7896976
EAS,East Asia & Pacific,,,Male,1960,46.76893632
ECA,Europe & Central Asia (excluding high income),,,Male,1960,59.89784401
ECS,Europe & Central Asia,,,Male,1960,64.09689783
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Male,1960,51.955
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,Male,1960,46.822
EMU,Euro area,,,Male,1960,66.62280466
ERI,Eritrea,Sub-Saharan Africa,Low income,Male,1960,36.973
ESP,Spain,Europe & Central Asia,High income,Male,1960,66.68
EST,Estonia,Europe & Central Asia,High income,Male,1960,63.979
ETH,Ethiopia,Sub-Saharan Africa,Low income,Male,1960,36.974
EUU,European Union,,,Male,1960,66.68183891
FCS,Fragile and conflict affected situations,,,Male,1960,39.17777321
FIN,Finland,Europe & Central Asia,High income,Male,1960,65.41
FJI,Fiji,East Asia & Pacific,Upper middle income,Male,1960,53.978
FRA,France,Europe & Central Asia,High income,Male,1960,66.6
FRO,Faroe Islands,Europe & Central Asia,High income,Male,1960,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,Male,1960,57.05
GAB,Gabon,Sub-Saharan Africa,Upper middle income,Male,1960,38.035
GBR,United Kingdom,Europe & Central Asia,High income,Male,1960,68.2
GEO,Georgia,Europe & Central Asia,Lower middle income,Male,1960,59.686
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Male,1960,45.53
GIB,Gibraltar,Europe & Central Asia,High income,Male,1960,
GIN,Guinea,Sub-Saharan Africa,Low income,Male,1960,33.762
GMB,"Gambia, The",Sub-Saharan Africa,Low income,Male,1960,30.851
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,Male,1960,36.338
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Male,1960,35.255
GRC,Greece,Europe & Central Asia,High income,Male,1960,65.9
GRD,Grenada,Latin America & Caribbean,Upper middle income,Male,1960,58.013
GRL,Greenland,Europe & Central Asia,High income,Male,1960,
GTM,Guatemala,Latin America & Caribbean,Lower middle income,Male,1960,46.08
GUM,Guam,East Asia & Pacific,High income,Male,1960,59.12
GUY,Guyana,Latin America & Caribbean,Upper middle income,Male,1960,57.748
HIC,High income,,,Male,1960,65.73156039
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Male,1960,63.409
HND,Honduras,Latin America & Caribbean,Lower middle income,Male,1960,44.621
HPC,Heavily indebted poor countries (HIPC),,,Male,1960,38.31960473
HRV,Croatia,Europe & Central Asia,Upper middle income,Male,1960,62.095
HTI,Haiti,Latin America & Caribbean,Low income,Male,1960,40.804
HUN,Hungary,Europe & Central Asia,High income,Male,1960,65.93
IBD,IBRD only,,,Male,1960,47.22673644
IBT,IDA & IBRD total,,,Male,1960,46.15371289
IDA,IDA total,,,Male,1960,40.76074385
IDB,IDA blend,,,Male,1960,42.4186353
IDN,Indonesia,East Asia & Pacific,Lower middle income,Male,1960,47.293
IDX,IDA only,,,Male,1960,39.95249175
IMN,Isle of Man,Europe & Central Asia,High income,Male,1960,
IND,India,South Asia,Lower middle income,Male,1960,41.89
INX,Not classified,South Asia,Lower middle income,Male,1960,
IRL,Ireland,Europe & Central Asia,High income,Male,1960,67.977
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,Male,1960,45.706
IRQ,Iraq,Middle East & North Africa,Upper middle income,Male,1960,48.478
ISL,Iceland,Europe & Central Asia,High income,Male,1960,71.15
ISR,Israel,Middle East & North Africa,High income,Male,1960,
ITA,Italy,Europe & Central Asia,High income,Male,1960,66.68
JAM,Jamaica,Latin America & Caribbean,Upper middle income,Male,1960,62.711
JOR,Jordan,Middle East & North Africa,Lower middle income,Male,1960,52.456
JPN,Japan,East Asia & Pacific,High income,Male,1960,65.31
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,Male,1960,53.231
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Male,1960,44.479
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,Male,1960,52.011
KHM,Cambodia,East Asia & Pacific,Lower middle income,Male,1960,39.613
KIR,Kiribati,East Asia & Pacific,Lower middle income,Male,1960,47.095
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,Male,1960,
KOR,"Korea, Rep.",East Asia & Pacific,High income,Male,1960,50.614
KWT,Kuwait,Middle East & North Africa,High income,Male,1960,59.211
LAC,Latin America & Caribbean (excluding high income),,,Male,1960,53.89838759
LAO,Lao PDR,East Asia & Pacific,Lower middle income,Male,1960,41.543
LBN,Lebanon,Middle East & North Africa,Upper middle income,Male,1960,61.565
LBR,Liberia,Sub-Saharan Africa,Low income,Male,1960,32.43
LBY,Libya,Middle East & North Africa,Upper middle income,Male,1960,41.449
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,Male,1960,53.754
LCN,Latin America & Caribbean,,,Male,1960,54.2191321
LDC,Least developed countries: UN classification,,,Male,1960,39.09045181
LIC,Low income,,,Male,1960,37.68732581
LIE,Liechtenstein,Europe & Central Asia,High income,Male,1960,
LKA,Sri Lanka,South Asia,Lower middle income,Male,1960,57.343
LMC,Lower middle income,,,Male,1960,44.92521193
LMY,Low & middle income,,,Male,1960,45.92616516
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,Male,1960,44.859
LTE,Late-demographic dividend,,,Male,1960,48.07602021
LTU,Lithuania,Europe & Central Asia,High income,Male,1960,66.94
LUX,Luxembourg,Europe & Central Asia,High income,Male,1960,65.362
LVA,Latvia,Europe & Central Asia,High income,Male,1960,66.26
MAC,"Macao SAR, China",East Asia & Pacific,High income,Male,1960,62.996
MAF,St. Martin (French part),Latin America & Caribbean,High income,Male,1960,
MAR,Morocco,Middle East & North Africa,Lower middle income,Male,1960,47.152
MCO,Monaco,Europe & Central Asia,High income,Male,1960,
MDA,Moldova,Europe & Central Asia,Lower middle income,Male,1960,58.024
MDG,Madagascar,Sub-Saharan Africa,Low income,Male,1960,39.042
MDV,Maldives,South Asia,Upper middle income,Male,1960,37.204
MEA,Middle East & North Africa,,,Male,1960,46.05275847
MEX,Mexico,Latin America & Caribbean,Upper middle income,Male,1960,55.091
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,Male,1960,
MIC,Middle income,,,Male,1960,46.51268516
MKD,"Macedonia, FYR",Europe & Central Asia,Upper middle income,Male,1960,60.195
MLI,Mali,Sub-Saharan Africa,Low income,Male,1960,27.436
MLT,Malta,Middle East & North Africa,High income,Male,1960,66.767
